153:  Gandhinagar
108:  Chandigarh
316:  Rewa
650:  Gautam Buddha Nagar
570:  Perambalur
237:  Rajouri
85:  Munger
144:  South East Delhi
128:  Mungeli
99:  Bhojpur
569:  Theni
166:  Tapi
